RUBRIC,NUMBER,COURSE_TITLE,CREDIT_HOUR,LEVEL
ACCT,2301,PRINCIPLES OF ACCOUNTING I,3,2
ACCT,2302,PRINCIPLES OF ACCOUNTING II,3,2
ACCT,3331,MANAGERIAL ACCOUNTING,3,3
ACCT,3332,FINANCIAL REPORTING & ANALY,3,3
ACCT,3333,COST ACCOUNTING,3,3
ACCT,3341,INTERMEDIATE ACCOUNTING I,3,3
ACCT,3342,INTERMEDIATE ACCOUNTING II,3,3
ACCT,4331,FEDERAL TAXATION INDIVIDUALS,3,4
ACCT,4332,FINANCIAL INFORMATION SYSTEMS,3,4
ACCT,4336,PRINCIPLES OF AUDITING,3,4
ACCT,4337,BUSINESS EVALUATION,3,4
ACCT,4341,AUDITING I,3,4
ACCT,4342,GOVT & NOT FOR PROFIT ACCT,3,4
ACCT,4343,UNDERSTANDING FINANCIAL STATEM,3,4
ACCT,4344,OIL & GAS ACCOUNTING,3,4
ACCT,4345,SOFTWARE APPLS IN AUDITING,3,4
ACCT,4346,BUSINESS ETHICS FOR ACCOUNTANT,3,4
ACCT,4352,ADVANCED FINANCIAL ACCOUNTING,3,4
ACCT,4353,FEDERAL TAX OF BUS ENTITIES,3,4
ACCT,4361,INTERNATIONAL ACCOUNTING,3,4
ACCT,4379,INTERNSHIP IN ACCOUNTING,3,4
ACCT,4389,INDT STUDY IN ACCOUNTING,3,4
ACCT,4391,SELECTED TOPICS IN ACCOUNTING,3,4
ACCT,5031,ACCOUNTING CONCEPTS FOR MGRS,3,5
ACCT,5131,ACCT FOR ADMINISTRATIVE CONTRL,3,5
ACCT,5133,FINANCIAL ACCOUNTING I,3,5
ACCT,5134,FINANCIAL ACCOUNTING II,3,5
ACCT,5137,PRINCIPLES OF AUDITING,3,5
ACCT,5231,INDIVIDUAL INCOME TAX,3,5
ACCT,5234,CORPORATE & PASS THROUGH ENTIT,3,5
ACCT,5331,ACCT ANALYSIS FOR MGMT DECI,3,5
ACCT,5332,ACCT INFORMATION SYSTEMS,3,5
ACCT,5333,FNDMNTALS OF DB DESIGN AND DEV,3,5
ACCT,5334,ADV DATABASE APPLICATIONS DEV,3,5
ACCT,5335,INFO SYST AUDIT & SECURITY,3,5
ACCT,5336,SYSTEMS ANALYSIS AND DESIGN,3,5
ACCT,5431,ADVANCED ACCOUNTING,3,5
ACCT,5432,ACCT FOR GOVT & NOT-FOR-PROFIT,3,5
ACCT,5436,PRINCIPLES OF AUDITING,3,5
ACCT,5437,BUSINESS EVALUATION,3,5
ACCT,5531,INTERNATIONAL ACCOUNTING,3,5
ACCT,5931,RESEARCH TOPICS IN ACCOUNTING,3,5
ACCT,5939,INDT. STU. IN ACCOUNTING,3,5
ACCT,6731,FIN STATE & ACCT INFO QUAL ANA,3,5
ACCT,6732,SEMINAR IN FRAUD EXAM/AUDIT RI,3,5
ACCT,6735,OIL AND GAS ACCOUNTING,3,5
ACCT,6739,INTERNSHIP IN ACCOUNTING,3,5
ACCT,6939,MASTER'S THESIS RESEARCH,3,5
ACCT,6969,MASTER'S THESIS RESEARCH,6,5
ADSU,5010,PROF PREPARATION SEM,1,5
ADSU,5931,RSCH. TOPICS IN ED. LEADERSHIP,3,5
ADSU,5939,INDT. STU. IN ED. LEADERSHIP,3,5
ADSU,6030,INTRO TO ED. LEADERSHIP,3,5
ADSU,6130,ADMINISTRATIVE SYSTEMS,3,5
ADSU,6132,CURRICULUM,3,5
ADSU,6233,PRINCIPALSHIP,3,5
ADSU,6235,ADMN OF SPECIAL PROGRAMS,3,5
ADSU,6237,STUDENT LEGAL MATTERS,3,5
ADSU,6333,INSTRUCTIONAL LEADERSHIP,3,5
ADSU,6432,MANAGEMENT THEORY,3,5
ADSU,6434,ADMN OF SCHOOL PERSONNEL,3,5
ADSU,6436,SCHOOL RESOURCE MANAGEMENT,3,5
ADSU,6437,SCHOOL LAW,3,5
ADSU,6533,APPRAISAL OF TEACHING,3,5
ADSU,6537,INTERPERSONAL COMMUNICATION,3,5
ADSU,6538,"PROGRAM, POLICY AND POLITICS",3,5
ADSU,6638,SCHOOL COMMUNITY RELATIONS,3,5
ADSU,6735,LEADERSHIP RESEARCH SEMINAR,3,5
ADSU,6739,GRADUATE PRACTICUM,3,5
AFSC,1201,FOUNDATIONS OF THE USAF I,2,1
AFSC,1202,FOUNDATIONS OF THE USAF II,2,1
AFSC,2201,EVOLUTION OF AIR POWER I,2,2
AFSC,2202,EVOLUTION OF AIR POWER II,2,2
AFSC,3301,AIR FORCE LEADERSHIP STUDIES I,3,3
AFSC,3302,AIR FORCE LEADERSHIP STU II,3,3
AFSC,3801,FIELD TRAINING,8,3
AFSC,4301,NATIONAL SECURITY AFFAIRS I,3,4
AFSC,4302,NATIONAL SECURITY AFFAIRS II,3,4
ANTH,2346,GENERAL ANTHROPOLOGY,3,2
ANTH,3311,CONTEMPRY CULTRL ANTHROPOLOGY,3,3
ANTH,3352,POLITIC/ECONOMIC ANTHROPOLOGY,3,3
ANTH,3355,TOPICS IN ASIAN STUDIES,3,3
ANTH,3357,TOPICS IN AFRICAN STUDIES,3,3
ANTH,3358,TOPICS IN MIDDLE EAST SOCIETIE,3,3
ANTH,3361,ANTHROPOLOGY OF FOOD,3,3
ANTH,3362,"MEDICINE, BODIES & CULTURE",3,3
ANTH,4301,STUDIES IN CULTURAL DIVERSITY,3,4
ANTH,4302,CAREERS IN ANTHROPOLOGY,3,4
ANTH,4303,ISLAM IN AMERICA,3,4
ANTH,4306,SERVICE LEARNING,3,4
ANTH,4330,CULTURAL STUDY ABROAD,3,4
ANTH,4333,PEOPLES OF MEXICO & CEN AMER,3,4
ANTH,4334,NATIVE AMERICANS,3,4
ANTH,4341,GENDER & SEXUALITY GLBL PERSP,3,4
ANTH,4342,HUMAN RIGHTS & SOCIAL JUSTICE,3,4
ANTH,4343,ANTH PRSPCTVS WORLD RELIGIONS,3,4
ANTH,4351,FAMILIES AND COMMUNITY,3,4
ANTH,4352,WORLD PREHIST AND ARCHAEOLOGY,3,4
ANTH,4364,VISUAL ANTHROPOLOGY,3,4
ANTH,4372,APPLIED QUALITATIVE METH,3,4
ANTH,4389,INDT STUDY IN ANTHROPOLOGY,3,4
ANTH,4391,SELECTED TOPICS,3,4
ANTH,5032,POLITICAL ECONOMY,3,5
ANTH,5333,CULTURES OF MEXICO & CEN AMER,3,5
ANTH,5334,NATIVE AMERICAN CULTURES,3,5
ANTH,5531,"FAM, COMM, & GLOBALIZA.",3,5
ANTH,5535,CULTURES OF ASIA,3,5
ANTH,5537,TOPICS IN AFRICAN STUDIES,3,5
ANTH,5538,CULTURES OF THE MIDDLE EAST,3,5
ANTH,5931,SELECTED TOPICS IN ANTHROP,3,5
ANTH,5939,INDT. STUDY IN ANTHROPOLOGY,3,5
ARTS,1303,WORLD ART SURVEY I,3,1
ARTS,1304,WORLD ART SURVEY II,3,1
ARTS,1311,DESIGN FOUNDATIONS,3,1
ARTS,1316,DRAWING FOUNDATIONS,3,1
ARTS,1325,DRAWING FOR NON-ART MAJORS,3,1
ARTS,1371,PHOTOGRAPHY FOR NON-ART MAJORS,3,1
ARTS,2316,PAINTING,3,2
ARTS,2371,DIGITAL PHOTOGRAPHY,3,2
ARTS,2379,ARTS AND THE CHILD,3,2
ARTS,3310,SCULPTURE,3,3
ARTS,3320,CERAMICS,3,3
ARTS,3331,INTERMEDIATE DRAWING,3,3
ARTS,3333,LIFE DRAWING,3,3
ARTS,3335,INTERMEDIATE PAINTING,3,3
ARTS,3340,PRINTMAKING,3,3
ARTS,3341,FIBERS,3,3
ARTS,3350,ART 1900-1950,3,3
ARTS,3351,ART 1950-PRESENT,3,3
ARTS,3352,TRADITIONAL PHOTOGRAPHY,3,3
ARTS,3355,LATIN AMERICAN ART OF 20TH C,3,3
ARTS,3356,"MEXICAN ART, 1500-PRESENT",3,3
ARTS,3357,HISTORY & THEORY PHOTOGRAPHY,3,3
ARTS,3360,GRAPHIC DESIGN,3,3
ARTS,3365,3D COMPUTER MODELING,3,3
ARTS,3369,ILLUSTRATION,3,3
ARTS,4189,INDT STUDY IN ART,1,4
ARTS,4289,INDT STUDY ART,2,4
ARTS,4300,METHODS IN ELEMENTARY ART,3,4
ARTS,4301,METHODS IN SECONDARY ART,3,4
ARTS,4302,CRAFTS DESIGN,3,4
ARTS,4310,ADVANCED SCULPTURE,3,4
ARTS,4311,PROCESS SCULPTURE,3,4
ARTS,4312,ART ANCIENT IRAQ & NEAR EAST,3,4
ARTS,4315,ART ANCIENT GREEK WORLD,3,4
ARTS,4320,ADVANCED CERAMICS,3,4
ARTS,4321,RAKU,3,4
ARTS,4322,ROMAN ART,3,4
ARTS,4331,ADVANCED DRAWING,3,4
ARTS,4332,ADVANCED LIFE DRAWING,3,4
ARTS,4335,ADVANCED PAINTING,3,4
ARTS,4340,ADVANCED PRINTMAKING,3,4
ARTS,4341,ADVANCED FIBERS,3,4
ARTS,4348,INFORMATION DESIGN,3,4
ARTS,4350,ADVANCED PHOTOGRAPHY,3,4
ARTS,4351,INTERMEDIATE PHOTOGRAPHY,3,4
ARTS,4352,VIDEO ARTS,3,4
ARTS,4358,HISTORY AND THEORY OF GRAPHIC,3,4
ARTS,4363,ADVERTISING DESIGN,3,4
ARTS,4364,MUSEUM STUDIES,3,4
ARTS,4365,3D ANIMATION,3,4
ARTS,4366,PROPAGANDA & PERSUASIVE IMAGES,3,4
ARTS,4368,GRAPHIC NOVEL DESIGN,3,4
ARTS,4369,DIGITAL ILLUSTRATION,3,4
ARTS,4370,GENDER & ID IN THE VISUAL ARTS,3,4
ARTS,4371,RENAISSANCE ART,3,4
ARTS,4372,STUDIES IN WEST EUROPEAN ART,3,4
ARTS,4373,IMPRESSIONISM,3,4
ARTS,4374,MODERN ART,3,4
ARTS,4375,CONTEMPORARY ART,3,4
ARTS,4376,STUDIES IN NON-WESTERN ART,3,4
ARTS,4377,TOPICS IN CONTEMPORARY ART,3,4
ARTS,4389,INDT STUDY IN ARTS,3,4
ARTS,4390,SENIOR SEMINAR IN ART,3,4
ARTS,4391,SELECTED TOPICS IN ART,3,4
ARTS,4392,ARTS INTERNSHIP,3,4
ARTS,5037,STUDIES IN ART HISTORY,3,5
ARTS,5038,CRAFTS DESIGN AND HISTORY,3,5
ARTS,5231,SCULPTURE AND CERAMIC STUDIO,3,5
ARTS,5233,ART ANCIENT IRAQ & NEAR EAST,3,5
ARTS,5234,ART ANCIENT GREEK WORLD,3,5
ARTS,5331,PAINTING-DRAWING-PRINTMAKING,3,5
ARTS,5631,WEAVING STUDIO,3,5
ARTS,5919,INDEPENDENT STUDY IN ART,1,5
ARTS,5931,RESEARCH TOPICS IN ART,3,5
ARTS,5939,INDEPENDENT STUDY IN ART,3,5
ASTR,1103,LAB FOR STARS AND GALAXIES,1,1
ASTR,1104,LAB FOR SOLAR SYSTEM,1,1
ASTR,1303,STARS AND GALAXIES,3,1
ASTR,1304,SOLAR SYSTEM,3,1
ASTR,1373,LIFE IN THE UNIVERSE,3,1
ASTR,2377,LIFE AND THE UNIVERSE,3,2
ASTR,3311,MODERN ASTRONOMY,3,3
ASTR,4311,UNIVERSAL ORIGINS,3,4
ASTR,4312,PRINCIPLES OF ASTROBIOPHYSICS,3,4
ASTR,4391,SELECTED TOPICS,3,4
ASTR,5131,GRADUATE ASTRONOMY,3,5
